"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","6","0.0-0.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2909","0.0-1.0","p64209","pilot_test","emogo","test_session","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","5440","0.0-2.0","p64209","pilot_test","emogo","test_session","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","7951","0.0-3.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":2508}]","2508","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","10303","0.0-4.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","1849","9558","11407","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","12235","0.0-5.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","1429","11911","13340","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","29186","0.0-6.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":16949}]","16949","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","32835","0.0-7.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","3147","30793","33940","[""stimuli/BM16_SC.jpg"",""stimuli/HF10_FO.jpg"",""stimuli/BM04_HO.jpg"",""stimuli/HM10_SUR.jpg""]","stimuli/BM16_SC.jpg","stimuli/HF10_FO.jpg","stimuli/BM04_HO.jpg","stimuli/HM10_SUR.jpg","pos3","stimuli/BM04_HO.jpg","HO","BM04","2","3","6","6","stimuli/stars_6.png","4","[""SC"",""FO"",""HO"",""SUR""]","[""BM16"",""HF10"",""BM04"",""HM10""]","[3,2,6,6]","[2,4,6,8]","","",""
"show-reward","8","34842","0.0-8.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","","34445","36448","","","","","","","","","","","","6","","stimuli/stars_6.png","4","","","","","stimuli/BM04_HO.jpg","",""
"explore-choice","9","37068","0.0-9.0","p64209","pilot_test","emogo","test_session","model","match","uniform","","","","","","","1723","36450","38173","[""stimuli/BM16_HO.jpg"",""stimuli/HF10_FO.jpg"",""stimuli/BM04_SUR.jpg"",""stimuli/HM10_SC.jpg""]","stimuli/BM16_HO.jpg","stimuli/HF10_FO.jpg","stimuli/BM04_SUR.jpg","stimuli/HM10_SC.jpg","pos1","stimuli/BM16_HO.jpg","HO","BM16","0","0","0","2","stimuli/stars_0.png","4","[""HO"",""FO"",""SUR"",""SC""]","[""BM16"",""HF10"",""BM04"",""HM10""]","[0,2,6,10]","[2,4,6,8]","","",""
