"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus"
"pavlovia","0","2","0.0-0.0","p801735","","","","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4206","0.0-1.0","p801735","","","","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","7358","0.0-2.0","p801735","","","","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","8813","0.0-3.0","p801735","","","","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1454.5}]","1454.8999999761581","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","11510","0.0-4.0","p801735","","","","model","match","uniform","","","","","","","2192.300000011921","9457","11649.300000011921","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","",""
"explore-choice","5","13888","0.0-5.0","p801735","","","","model","match","uniform","","","","","","","1876.2999999523163","12153.700000047684","14030","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","",""
"instructions","6","15457","0.0-6.0","p801735","","","","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1567}]","1567.199999988079","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","18251","0.0-7.0","p801735","","","","model","match","uniform","","","","","","","2291.100000023842","16101.300000011921","18392.400000035763","[""stimuli/HF10_AO.jpg"",""stimuli/WM11_SC.jpg"",""stimuli/BM03_HE.jpg"",""stimuli/HF09_DO.jpg""]","stimuli/HF10_AO.jpg","stimuli/WM11_SC.jpg","stimuli/BM03_HE.jpg","stimuli/HF09_DO.jpg","pos2","stimuli/WM11_SC.jpg","SC","WM11","1","5","10","8","stimuli/stars_10.png","6","[""AO"",""SC"",""HE"",""DO""]","[""HF10"",""WM11"",""BM03"",""HF09""]","[0,10,5,5]","[2,8,4,6]",""
"show-reward","8","20258","0.0-8.0","p801735","","","","model","match","uniform","","","","","","","","18897.200000047684","20900.30000001192","","","","","","","","","","","","10","","stimuli/stars_10.png","6","","","","","stimuli/WM11_SC.jpg"
"explore-choice","9","26451","0.0-9.0","p801735","","","","model","match","uniform","","","","","","","5688","20902.30000001192","26590.30000001192","[""stimuli/HF10_AO.jpg"",""stimuli/BM03_DO.jpg"",""stimuli/HF09_HE.jpg"",""stimuli/WM11_SC.jpg""]","stimuli/HF10_AO.jpg","stimuli/BM03_DO.jpg","stimuli/HF09_HE.jpg","stimuli/WM11_SC.jpg","pos2","stimuli/BM03_DO.jpg","DO","BM03","1","1","2","4","stimuli/stars_2.png","7","[""AO"",""DO"",""HE"",""SC""]","[""HF10"",""BM03"",""HF09"",""WM11""]","[4,2,7,10]","[2,4,6,8]",""
"show-reward","10","28460","0.0-10.0","p801735","","","","model","match","uniform","","","","","","","","27094.900000035763","29101.600000023842","","","","","","","","","","","","2","","stimuli/stars_2.png","7","","","","","stimuli/BM03_DO.jpg"
