subject,structure_condition,match_condition,score_after_trial
p99913,emotion,match,401
p563746,emotion,match,388
p105158,emotion,match,375
p261873,emotion,match,374.5
p414120,emotion,match,373.5
p872716,emotion,match,372.5
p952414,emotion,match,366.5
p329898,emotion,match,356
p292282,emotion,match,347.5
p343295,emotion,match,340.5
p69894,emotion,match,338.5
p122177,emotion,match,337.5
p687432,emotion,match,335.5
p547320,emotion,mismatch,384
p281222,emotion,mismatch,362.5
p80218,emotion,mismatch,361.5
p569042,emotion,mismatch,358
p512697,emotion,mismatch,354.5
p78047,emotion,mismatch,353
p429577,emotion,mismatch,348.5
p652740,emotion,mismatch,348
p376747,emotion,mismatch,346.5
p629959,emotion,mismatch,345.5
p639723,emotion,mismatch,343
p147726,emotion,mismatch,343
p107141,emotion,mismatch,342
p219429,model,match,387
p961964,model,match,377
p454224,model,match,373.5
p518693,model,match,373
p769897,model,match,369
p192380,model,match,366.5
p421981,model,match,364.5
p723849,model,match,363.5
p659652,model,match,362
p349691,model,match,361.5
p871324,model,match,360.5
p686635,model,match,357
p639562,model,match,356
p847179,model,match,356
p894031,model,mismatch,351
p503592,model,mismatch,350.5
p750196,model,mismatch,336.5
p604740,model,mismatch,333
p318692,model,mismatch,331
p344250,model,mismatch,330.5
p217985,model,mismatch,327
p582739,model,mismatch,326
p913575,model,mismatch,324
p868182,model,mismatch,322
p12772,model,mismatch,318.5
p965249,model,mismatch,312.5
p647189,model,mismatch,311.5
