subject,Race,Race_10_TEXT,Ethnicity,Ethnicity_3_TEXT,Education,Age,SexatBirth,SexatBirth_4_TEXT,CurrentGender,CurrentGender_8_TEXT,Handedness,Handedness_4_TEXT,Disability,Disability_5_TEXT
p668856,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,44,Male,NA,Man,NA,Right-handed,NA,No,NA
p668856,South Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,22,Female,NA,Woman,NA,Right-handed,NA,No,NA
p542369,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Less than high school,23,Female,NA,Woman,NA,Right-handed,NA,No,NA
p998681,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,76,Female,NA,Woman,NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p12618,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,42,Female,NA,Woman,NA,Right-handed,NA,No,NA
p234406,South Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,67,Male,NA,Man,NA,Right-handed,NA,No,NA
p589646,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Trade school,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p521578,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,51,Female,NA,Woman,NA,Right-handed,NA,No,NA
p842175,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,49,Female,NA,Woman,NA,Right-handed,NA,No,NA
p55451,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,33,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p622914,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,27,Male,NA,Man,NA,Right-handed,NA,No,NA
p91620,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p47676,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,57,Male,NA,Man,NA,Right-handed,NA,No,NA
p258542,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Trade school,58,Female,NA,Woman,NA,Left-handed,NA,No,NA
p321480,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,48,Female,NA,Woman,NA,Right-handed,NA,No,NA
