subject,structure_condition,match_condition,score_after_trial
p853496,model,match,384.5
p891495,model,match,379.5
p757447,emotion,match,378.5
p337018,emotion,match,377.5
p844204,model,match,375
p302613,emotion,mismatch,374.5
p937589,model,match,374
p91620,model,match,372
p976953,model,match,371
p401905,emotion,match,371
p611592,emotion,match,370
p37188,emotion,mismatch,369.5
p8080,model,match,368
p481620,emotion,match,368
p514868,emotion,match,364.5
p959918,emotion,mismatch,364.5
p485664,model,match,364
p460201,emotion,match,364
p58578,model,match,363.5
p443699,emotion,mismatch,363
p560407,model,match,362
p804109,model,match,361.5
p901122,emotion,mismatch,361.5
p945189,model,match,361
p542369,emotion,mismatch,360.5
p206198,emotion,mismatch,360.5
p756225,emotion,match,360
p477800,emotion,match,359.5
p277097,emotion,mismatch,359.5
p928170,model,match,359.5
p777683,emotion,mismatch,359
p814310,model,match,358.5
p861426,model,match,358
p557839,emotion,mismatch,358
p972187,model,match,357
p90513,emotion,mismatch,356.5
p354137,model,match,356.5
p151642,model,match,356.5
p750133,model,match,356
p258542,model,match,355
p842175,model,match,354.5
p490837,model,match,354.5
p821748,emotion,match,354.5
p667211,model,mismatch,354
p378470,emotion,match,353.5
p586650,emotion,mismatch,353.5
p857111,emotion,match,353.5
p995318,model,match,352.5
p280361,model,match,352.5
p589646,model,match,352
