"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","7","0.0-0.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","20992","0.0-1.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","30621","0.0-2.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","35004","0.0-3.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":4382.299999998882}]","4382.799999998882","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","37681","0.0-4.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","2175.300000000745","37902.29999999888","40077.59999999963","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","39200","0.0-5.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","1017.8000000007451","40579.29999999888","41597.09999999963","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","44747","0.0-6.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":5546.5999999996275}]","5546.799999998882","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","49787","0.0-7.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","4538.199999999255","47645.90000000037","52184.09999999963","[""stimuli/WM13_CC.jpg"",""stimuli/BM04_SUR.jpg"",""stimuli/HF04_HE.jpg"",""stimuli/AF10_AO.jpg""]","stimuli/WM13_CC.jpg","stimuli/BM04_SUR.jpg","stimuli/HF04_HE.jpg","stimuli/AF10_AO.jpg","pos2","stimuli/BM04_SUR.jpg","SUR","BM04","1","2.5","5","6","stimuli/stars_5.png","3.5","[""CC"",""SUR"",""HE"",""AO""]","[""WM13"",""BM04"",""HF04"",""AF10""]","[6,5,9,1]","[4,6,8,2]","","",""
"show-reward","8","51789","0.0-8.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","52685.59999999963","54686.90000000037","","","","","","","","","","","","5","","stimuli/stars_5.png","3.5","","","","","stimuli/BM04_SUR.jpg","",""
"explore-choice","9","54871","0.0-9.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","2581","54687.40000000037","57268.40000000037","[""stimuli/BM04_AO.jpg"",""stimuli/HF04_HE.jpg"",""stimuli/AF10_SUR.jpg"",""stimuli/WM13_CC.jpg""]","stimuli/BM04_AO.jpg","stimuli/HF04_HE.jpg","stimuli/AF10_SUR.jpg","stimuli/WM13_CC.jpg","pos2","stimuli/HF04_HE.jpg","HE","HF04","1","5","10","8","stimuli/stars_10.png","8.5","[""AO"",""HE"",""SUR"",""CC""]","[""BM04"",""HF04"",""AF10"",""WM13""]","[1,10,7,6]","[2,8,6,4]","","",""
"show-reward","10","56873","0.0-10.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","57769.5","59770.5","","","","","","","","","","","","10","","stimuli/stars_10.png","8.5","","","","","stimuli/HF04_HE.jpg","",""
"explore-choice","11","59551","0.0-11.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","2177.199999999255","59770.90000000037","61948.09999999963","[""stimuli/BM04_SUR.jpg"",""stimuli/HF04_AO.jpg"",""stimuli/AF10_CC.jpg"",""stimuli/WM13_HE.jpg""]","stimuli/BM04_SUR.jpg","stimuli/HF04_AO.jpg","stimuli/AF10_CC.jpg","stimuli/WM13_HE.jpg","pos4","stimuli/WM13_HE.jpg","HE","WM13","3","4.5","9","8","stimuli/stars_9.png","13","[""SUR"",""AO"",""CC"",""HE""]","[""BM04"",""HF04"",""AF10"",""WM13""]","[5,3,3,9]","[6,2,4,8]","","",""
"show-reward","12","61553","0.0-12.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","62449.40000000037","64451","","","","","","","","","","","","9","","stimuli/stars_9.png","13","","","","","stimuli/WM13_HE.jpg","",""
"explore-choice","13","63076","0.0-13.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","1016.6999999992549","64451.40000000037","65468.09999999963","[""stimuli/WM13_AO.jpg"",""stimuli/HF04_SUR.jpg"",""stimuli/BM04_HE.jpg"",""stimuli/AF10_CC.jpg""]","stimuli/WM13_AO.jpg","stimuli/HF04_SUR.jpg","stimuli/BM04_HE.jpg","stimuli/AF10_CC.jpg","pos3","stimuli/BM04_HE.jpg","HE","BM04","2","5","10","8","stimuli/stars_10.png","18","[""AO"",""SUR"",""HE"",""CC""]","[""WM13"",""HF04"",""BM04"",""AF10""]","[4,4,10,6]","[2,6,8,4]","","",""
"show-reward","14","65078","0.0-14.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","65974","67975.59999999963","","","","","","","","","","","","10","","stimuli/stars_10.png","18","","","","","stimuli/BM04_HE.jpg","",""
"explore-choice","15","66917","0.0-15.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","1323.7999999988824","67976","69299.79999999888","[""stimuli/WM13_HE.jpg"",""stimuli/BM04_CC.jpg"",""stimuli/HF04_AO.jpg"",""stimuli/AF10_SUR.jpg""]","stimuli/WM13_HE.jpg","stimuli/BM04_CC.jpg","stimuli/HF04_AO.jpg","stimuli/AF10_SUR.jpg","pos1","stimuli/WM13_HE.jpg","HE","WM13","0","4.5","9","8","stimuli/stars_9.png","22.5","[""HE"",""CC"",""AO"",""SUR""]","[""WM13"",""BM04"",""HF04"",""AF10""]","[9,3,4,7]","[8,4,2,6]","","",""
"show-reward","16","68933","0.0-16.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","69815.29999999888","71830.40000000037","","","","","","","","","","","","9","","stimuli/stars_9.png","22.5","","","","","stimuli/WM13_HE.jpg","",""
"explore-choice","17","70711","0.0-17.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","1276.699999999255","71831","73107.69999999925","[""stimuli/HF04_HE.jpg"",""stimuli/WM13_AO.jpg"",""stimuli/AF10_CC.jpg"",""stimuli/BM04_SUR.jpg""]","stimuli/HF04_HE.jpg","stimuli/WM13_AO.jpg","stimuli/AF10_CC.jpg","stimuli/BM04_SUR.jpg","pos4","stimuli/BM04_SUR.jpg","SUR","BM04","3","2","4","6","stimuli/stars_4.png","24.5","[""HE"",""AO"",""CC"",""SUR""]","[""HF04"",""WM13"",""AF10"",""BM04""]","[8,3,6,4]","[8,2,4,6]","","",""
"show-reward","18","72714","0.0-18.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","73609","75611.29999999888","","","","","","","","","","","","4","","stimuli/stars_4.png","24.5","","","","","stimuli/BM04_SUR.jpg","",""
"explore-choice","19","75151","0.0-19.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","1935.6000000014901","75611.79999999888","77547.40000000037","[""stimuli/BM04_AO.jpg"",""stimuli/WM13_CC.jpg"",""stimuli/AF10_HE.jpg"",""stimuli/HF04_SUR.jpg""]","stimuli/BM04_AO.jpg","stimuli/WM13_CC.jpg","stimuli/AF10_HE.jpg","stimuli/HF04_SUR.jpg","pos1","stimuli/BM04_AO.jpg","AO","BM04","0","1.5","3","2","stimuli/stars_3.png","26","[""AO"",""CC"",""HE"",""SUR""]","[""BM04"",""WM13"",""AF10"",""HF04""]","[3,6,9,7]","[2,4,8,6]","","",""
"show-reward","20","77152","0.0-20.0","p915359","A11FRLH5KWRLBV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3IRIK4HM3CQ86OPI5VN0KZ9HY2I6CR","emotion","mismatch","uniform","","","","","","","","78048.79999999888","80049.90000000037","","","","","","","","","","","","3","","stimuli/stars_3.png","26","","","","","stimuli/BM04_AO.jpg","",""
